"Code"|"Name"|"Designator"|"Template"
"225"|"Cemair (Pty) Ltd. t/a Cemair"|"5Z"|""
"226"|"Air Burkina"|"2J"|""
"227"|"Welcome Air Luftfahrt Gmbh & Co KG"|"F5"|""
"228"|"TATA SIA AIRLINES LTD dba VISTARA"|"UK"|""
"229"|"Kuwait Airways"|"KU"|""
"230"|"Compania Panamena de Aviacion, S.A. (COPA)"|"CM"|""
"231"|"Lauda Air Luftfahrt AG"|"NG"|""
"232"|"Malaysia Airlines Berhad dba Malaysia Airlines"|"MH"|""
"233"|"GALEYR AIRLINE dba GALEYR AIRLINE"|"G2"|""
"234"|"Dana Airlines Limited"|"9J"|""
"235"|"Turkish Airlines Inc."|"TK"|""
"236"|"British Midland Airways Ltd. dba bmi"|"BD"|""
"237"|"Qeshm Air"|"QB"|""
"238"|"Arkia Israeli Airlines"|"IZ"|""
"239"|"Air Mauritius Ltd"|"MK"|""
"240"|"AVIATECA, S.A."|"GU"|""
"241"|"Ellinair S.A"|"EL"|""
"243"|"Danish Air Transport A/S"|"DX"|""
"244"|"Air Tahiti Nui"|"TN"|""
"245"|"Bradley Air Services Limited t/a First Air"|"7F"|""
"246"|"Germania Fluggesellschaft mbH"|"ST"|""
"247"|"Oceanair Linhas Aereas S.A. t/a Avianca (Brasil)"|"O6"|""
"248"|"Air Alsie A/S"|"6I"|""
"249"|"Santa Barbara Airlines C.A."|"S3"|""
"250"|"Uzbekistan Airways"|"HY"|""
"252"|"Travelsky Technology Limited"|"1E"|""
"253"|"Tiara Air N.V. dba Tiara Air Aruba"|"3P"|""
"254"|"Premium Jet AG"|"0J"|""
"255"|"Ariana Afghan Airlines"|"FG"|""
"257"|"Austrian Airlines AG dba Austrian"|"OS"|""
"258"|"Air Madagascar"|"MD"|""
"260"|"Air Pacific Limited t/a Fiji Airway"|"FJ"|""
"261"|"Alianza Glancelot, C.A."|"G0"|""
"262"|"Joint Stock Company "Ural Airlines""|"U6"|""
"263"|"Mahogany Air"|"KT"|""
"265"|"Air Bishkek Aircompany dba Air Bishkek Ltd. Aircom"|"KR"|""
