"Code"|"Name"|"Designator"|"Template"
"680"|"SPANAIR"|"JK"|""
"681"|"HELLAS JET"|"T4"|""
"685"|"Portugalia - Companhia Portuguesa de Transportes Aereos SA"|"NI"|""
"693"|"VLM Airlines N.V"|"VG"|""
"695"|"EVA Airways Corporation"|"BR"|""
"696"|"Transportes Aereos de Cabo Verde"|"VR"|""
"702"|"Jambojet Limited"|"VB"|""
"704"|"DAC Aviation (EC) Ltd."|"OL"|""
"706"|"Kenya Airways"|"KQ"|""
"718"|"Jin Air Co. Ltd"|"IJ"|""
"721"|"International Air Transport Association (IATA)"|"21"|""
"724"|"SWISS International Air Lines Ltd dba SWISS"|"LX"|""
"725"|"Arik Air Limited"|"W3"|""
"731"|"Xiamen Airlines"|"MF"|""
"736"|"International Air Transport Association (IATA)"|"GJ"|""
"738"|"Vietnam Airlines JSC"|"VN"|""
"739"|"Federal Airlines (Pty) Ltd"|"7V"|""
"743"|"Stobart Air (Comhforbairt Gaillimh)"|"M4"|""
"745"|"Air Berlin PLC & Co Luftverkehrs KG"|"AB"|""
"747"|"Heli Air Monaco"|"YO"|""
"752"|"SKYWAYS EXPRESS AB"|"JZ"|""
"760"|"Air Austral"|"UU"|""
"771"|"Azerbaijan Hava Yollary"|"J2"|""
"772"|"SkyWork Airlines AG"|"SX"|""
"773"|"Travelport dba Worldspan"|"1G"|""
"777"|"IATA-Default Insurance Program"|"ST"|""
"779"|"US-Bangla Airlines Limited"|"0D"|""
"781"|"China Eastern Airlines"|"MU"|""
"784"|"China Southern Airlines"|"CZ"|""
"792"|"IATA E&F"|"XB"|""
"795"|"Virgin Australia International Airlines Pty Ltd"|"VA"|""
"796"|"Nouvelair Tunisie"|"BJ"|""
"809"|"Indonesia AirAsia Extra, PT"|"RE"|""
"818"|"Israir Airlines and Tourism Ltd."|"6H"|""
"821"|"Blue Islands Limited"|"SI"|""
"823"|"VIM Airlines"|"NN"|""
"829"|"Bangkok Airways Public Co., Ltd."|"PG"|""
"831"|"Croatia Airlines"|"OU"|""
"834"|"Primera Air Scandinavia A/S"|"RQ"|""
"851"|"Hong Kong Airlines Limited"|"HX"|""
"853"|"Air Mediterranee"|"ML"|""
"861"|"Hunnu Air LLC"|"MR"|""
"867"|"LongJiang Airlines Co.,Ltd."|"AP"|""
"870"|"Aerosvit Airlines"|"VV"|""
"876"|"Sichuan Airlines Co. Ltd."|"3U"|""
"880"|"Hainan Airlines Holding Company Limited"|"HU"|""
"881"|"Condor Flugdienst GmbH"|"DE"|""
"888"|"Scheduled Airlines Traffic Offices Inc.(SATO)"|"RR"|""
"895"|"Grand China Air Co. , Ltd."|"S9"|""
"897"|"Limited Liability Company \"Donbassaero  Airlines\""|"7D"|""
"898"|"Beijing Capital Airlines Co. Ltd."|"JD"|""
"909"|"Thai Smile Airways Company Limited"|"CQ"|"LEAN"
"910"|"Oman Air (S.A.O.C)"|"WY"|""
"915"|"RHEINTALFLUG SEEWALD"|"WE"|""
"923"|"Corsair t/a Corsair International"|"SS"|""
"930"|"Boliviana de Aviacion (BoA)"|"OB"|""
"932"|"Virgin Atlantic Airways Limited"|"VS"|""
"943"|"Asia Atlantic Airlines Co., Ltd."|"HB"|""
"946"|"Platform Road Lane 4"|"VA"|""
"948"|"NOVA Airways Co."|"AE"|""
"950"|"SITA - Airlines Worldwide Telecommunications and I"|"XS"|""
"952"|"International Air Transport Association (IATA)"|"XB"|""
"953"|"International Air Transport Association (IATA)"|"53"|""
"954"|"International Air Transport Association (IATA)"|"54"|""
"955"|"International Air Transport Association (IATA)"|"XB"|""
"956"|"International Air Transport Association (IATA)"|"56"|""
"957"|"TAM Linhas Aereas S.A. dba LATAM Airlines Brasil"|"JJ"|""
"965"|"Equaflight Service dba Equaflight Service"|"DO"|""
"976"|"INDIAN AIRLINES"|"IN"|""
"978"|"Vietjet Aviation Joint Stock Compan"|".."|""
"980"|"Chalair Aviation"|"CE"|""
"982"|"Air Busan"|"VM"|""
"988"|"Asiana Airlines Inc."|"OZ"|""
"995"|"Swoop Inc."|"JA"|""
"996"|"Air Europa Lineas Aereas, S.A."|"UX"|""
"997"|"Biman Bangladesh Airlines Limited"|"BG"|""
"998"|"BSP"|"XX"|""
"999"|"Air China Limited"|"CA"|""
"AA9"|"T'way Air Co., Ltd. "|"VA"|""
"AB0"|"T'way Air Co., Ltd. "|"VA"|""
"ABC"|"AOMXXXXXXXXXXXXXX"|"IW"|""
"AC1"|"T'way Air Co., Ltd. "|"1T"|""
"AC3"|"T'way Air Co., Ltd. "|"ZA"|""
"AS2"|"T'way Air Co., Ltd. "|"TW"|""
"AS3"|"T'way Air Co., Ltd. "|"TW"|""
"AS4"|"T'way Air Co., Ltd. "|"TW"|""
"AS5"|"T'way Air Co., Ltd. "|"TW"|""
"AS6"|"T'way Air Co., Ltd. "|"TW"|""
"AS7"|"T'way Air Co., Ltd. "|"TW"|""
"AS9"|"T'way Air Co., Ltd. "|"S8"|""
"BBO"|"FLYBABOO"|"01"|""
"CD1"|"T'way Air Co., Ltd. "|"VA"|""
"JAZ"|"T'way Air Co., Ltd. "|"VA"|""
"SB1"|"T'way Air Co., Ltd. "|"TW"|""
"ZAJ"|"T'way Air Co., Ltd. "|"VA"|""
"ZZ0"|"T'way Air Co., Ltd. "|"Z1"|""
"ZZ1"|"T'way Air Co., Ltd. "|"Z1"|""
